Measurement,Value (inches)
Height,72.0
Torso Height,25.618226831695523
Torso Width,38.53052000526306
Torso Depth,38.53052000526306
Upper Arm Length Left,14.87873191024645
Lower Arm Length Left,11.267766692734723
Upper Arm Width Left,14.87873191024645
Upper Arm Depth Left,14.87873191024645
Lower Arm Depth Left,14.87873191024645
Upper Arm Length Right,15.538412955745628
Lower Arm Length Right,11.916535749336793
Upper Arm Width Right,15.538412955745628
Upper Arm Depth Right,15.538412955745628
Lower Arm Depth Right,15.538412955745628
Upper Leg Length Left,17.20984828446269
Lower Leg Length Left,14.333965528951094
Upper Leg Depth Left,7.70964585054629
Lower Leg Depth Left,7.70964585054629
Upper Leg Length Right,16.651030681934827
Lower Leg Length Right,14.790487714599687
Upper Leg Depth Right,7.70964585054629
Lower Leg Depth Right,7.70964585054629
