Measurement,Value (inches)
Height (inches),72.0
Torso Height (inches),25.618226831695523
Torso Width (inches),38.53052000526306
Torso Depth (inches),25.30011048549959
Upper Arm Length Left (inches),14.87873191024645
Lower Arm Length Left (inches),11.267766692734723
Upper Arm Width Left (inches),14.87873191024645
Upper Arm Depth Left (inches),14.87873191024645
Lower Arm Depth Left (inches),14.87873191024645
Upper Arm Length Right (inches),15.538412955745628
Lower Arm Length Right (inches),11.916535749336793
Upper Arm Width Right (inches),15.538412955745628
Upper Arm Depth Right (inches),15.538412955745628
Lower Arm Depth Right (inches),15.538412955745628
Upper Leg Length Left (inches),17.20984828446269
Lower Leg Length Left (inches),14.333965528951094
Upper Leg Width Left (inches),7.70964585054629
Upper Leg Depth Left (inches),7.70964585054629
Lower Leg Depth Left (inches),7.70964585054629
Upper Leg Length Right (inches),16.651030681934827
Lower Leg Length Right (inches),14.790487714599687
Upper Leg Width Right (inches),7.70964585054629
Upper Leg Depth Right (inches),7.70964585054629
Lower Leg Depth Right (inches),7.70964585054629
