Dimension,Scaled Value (Inches)
Height,72.0
Torso Height,25.618226831695523
Torso Width,25.30011048549959
Torso Depth,20.877711145906527
Upper Arm Length,14.87873191024645
Upper Arm Width,29.94153021710598
Upper Arm Depth,11.395765977410868
Lower Arm Length,11.267766692734723
Lower Arm Width,32.989111827967875
Lower Arm Depth,10.105680587304525
Upper Leg Length,17.20984828446269
Upper Leg Width,7.70964585054629
Upper Leg Depth,40.58635584349721
Lower Leg Length,14.333965528951094
Lower Leg Width,5.6775300406179
Lower Leg Depth,46.650639185378516
