Measurement,Value (inches)
height,72.0
torso_height,23.603472500038894
torso_width,16.99389433091162
torso_depth,16.99389433091162
upper_arm_length_left,13.205496424858636
lower_arm_length_left,12.189685005448643
upper_arm_width_left,8.257331262478788
lower_arm_depth_left,8.257331262478788
upper_arm_length_right,13.965785608668655
lower_arm_length_right,11.624554035536494
upper_arm_width_right,8.257331262478788
lower_arm_depth_right,8.257331262478788
upper_leg_length_left,17.838569100028
lower_leg_length_left,15.505768578667404
upper_leg_length_right,18.115744689485894
lower_leg_length_right,15.147378779628102
